zam_prod_id;zamow_id;produkt_id;produkt_kod;kolor;product_rozmiar;cena;ilosc;nastanie;status_odbioru
531;432;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
533;434;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
536;436;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;2;0;0
538;437;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
540;439;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;2;0;0
541;440;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
542;441;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
544;442;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
545;443;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;2;0;0
547;445;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
548;446;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;2;0;0
551;447;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
552;448;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
556;451;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
557;452;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
558;453;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
560;454;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
563;455;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
565;457;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
567;458;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
569;459;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
570;460;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
571;461;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;2;0;0
572;462;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
574;464;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
576;465;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
583;469;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
587;472;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
588;473;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
589;474;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
590;475;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
591;476;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
594;479;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
597;482;1;Czapka KioWi z osłoną ochronną;Czarny;;89.90;1;0;0
601;485;1;Czapka KioWi z osłoną ochronną;Czarny;;74.90;1;0;0
603;486;1;Czapka KioWi z osłoną ochronną;Czarny;;74.90;2;0;0
607;489;1;Czapka KioWi z osłoną ochronną;Czarny;;74.90;2;0;0
614;494;1;Czapka KioWi z osłoną ochronną;Czarny;;74.90;1;0;0
